lr,gamma,scores,avg_scores
0.001,0.99,-159.0628278661443,-159.0628278661443
0.001,0.99,-203.12328485137093,-181.09305635875762
0.001,0.99,-82.87671834168302,-148.35427701973276
0.001,0.99,-155.85725304211343,-150.23002102532791
0.001,0.99,-155.4579654048062,-151.27560990122356
0.001,0.99,-151.90007313336173,-151.37968710657992
0.001,0.99,-225.37262911705616,-161.95010739379083
0.001,0.99,-157.46127853685687,-161.38900378667407
0.001,0.99,-211.54734570118583,-166.96215288828648
0.001,0.99,-436.0275403929754,-193.86869163875537
0.001,0.99,-208.2249804826352,-195.17380880638083
0.001,0.99,-234.31022332776502,-198.43517668316284
0.001,0.99,-184.02729728676877,-197.32687826805562
0.001,0.99,-22.462502860121447,-184.83656573891744
0.001,0.99,-232.75151350041193,-188.03089558968375
0.001,0.99,-153.7723599982151,-185.88973711521697
0.001,0.99,-169.9174858824863,-184.95019292505634
0.001,0.99,-271.2340472147687,-189.74374038559594
0.001,0.99,-69.87191167075288,-183.43469676902524
0.001,0.99,-102.75272169205167,-179.40059801517657
0.001,0.99,-339.05838124028907,-187.00334959732479
0.001,0.99,-132.6043039986531,-184.53066570647607
0.001,0.99,-297.76540529264184,-189.45391525370067
0.001,0.99,-160.57890080937793,-188.25078965185386
0.001,0.99,-131.47785826663144,-185.97987239644496
0.001,0.99,-237.3270976374292,-187.95476567494433
0.001,0.99,-210.05333816567028,-188.773231322749
0.001,0.99,-288.3423482693619,-192.32927121369946
0.001,0.99,-351.64773598296176,-197.82301137815676
0.001,0.99,-103.36857243338895,-194.67453007999785
0.001,0.99,-288.33620171607123,-197.6958743263228
0.001,0.99,-118.39579612845148,-195.21774688263935
0.001,0.99,-159.87956176240857,-194.1468927880869
0.001,0.99,-134.5882190591023,-192.39516709017556
0.001,0.99,-79.65710284149212,-189.17407954021317
0.001,0.99,-101.16473440950335,-186.72937550880457
0.001,0.99,-52.89698374693137,-183.11228383956475
0.001,0.99,-107.72310555109117,-181.12835809513123
0.001,0.99,-341.9950231919192,-185.25314437966426
0.001,0.99,-317.1602494368568,-188.55082200609408
0.001,0.99,-184.17418556169392,-188.44407477574285
0.001,0.99,5.66845085264724,-183.82234797506692
0.001,0.99,-460.52590592479277,-190.25731443901404
0.001,0.99,-151.98745629548225,-189.38754493575195
0.001,0.99,-111.36350912081356,-187.65367747319777
0.001,0.99,-80.66045577412287,-185.32773787104398
0.001,0.99,-118.70911705517265,-183.91032040687648
0.001,0.99,-173.59931952579063,-183.69550788852052
0.001,0.99,-128.37747128899113,-182.56656836608116
0.001,0.99,-197.39931664186653,-182.86322333159686
0.001,0.99,-81.29982036695873,-180.87178405778045
0.001,0.99,-35.73342433830683,-178.08066175548285
0.001,0.99,-79.07007396435172,-176.212537457537
0.001,0.99,-64.03977409953987,-174.13526406201854
0.001,0.99,-69.88223833095645,-172.23975450327194
0.001,0.99,-369.8374373290279,-175.76828455373183
0.001,0.99,-388.5583757059884,-179.50144404763108
0.001,0.99,-85.18432369401985,-177.87528680015504
0.001,0.99,-308.95242643191176,-180.09693323459157
0.001,0.99,-107.54558131348887,-178.88774403590654
0.001,0.99,-105.06093049469472,-177.67746840408338
0.001,0.99,-111.80974032730614,-176.6150856931676
0.001,0.99,-87.64824906699832,-175.20291368322842
0.001,0.99,-272.86086675585136,-176.72881919998818
0.001,0.99,-126.3214777781917,-175.95332163965287
0.001,0.99,-93.99910934524569,-174.71159115034368
0.001,0.99,-242.91932482225826,-175.72961702604388
0.001,0.99,-137.16150517647037,-175.16243891060898
0.001,0.99,-61.27370315710738,-173.51187752287709
0.001,0.99,-348.4977084645517,-176.01167510775815
0.001,0.99,-195.89918896444863,-176.29178093672564
0.001,0.99,-112.19143114936747,-175.40149830079008
0.001,0.99,-92.84322021108582,-174.27056298449276
0.001,0.99,-444.42715553825514,-177.92132774873278
0.001,0.99,-167.31799421238395,-177.77994996824813
0.001,0.99,-67.01258741705485,-176.32248467152192
0.001,0.99,-94.0857924861152,-175.25447568210106
0.001,0.99,-43.79569568159806,-173.56910670773564
0.001,0.99,-144.67159516263723,-173.20331542235465
0.001,0.99,-97.21333184716129,-172.2534406276647
0.001,0.99,-84.15958623833721,-171.16586217841376
0.001,0.99,-69.98258902365033,-169.93191982286785
0.001,0.99,-108.82017657765257,-169.19563375967246
0.001,0.99,-98.46848844215724,-168.35364393446395
0.001,0.99,-48.6000837564127,-166.94477852060453
0.001,0.99,-218.78367567450425,-167.5475563944871
0.001,0.99,-112.99904960385308,-166.92056206356025
0.001,0.99,-63.4864222622748,-165.74517411127292
0.001,0.99,-20.556921448945204,-164.11384542967375
0.001,0.99,-38.49308600011736,-162.7180592137898
0.001,0.99,-1.823638079931058,-160.94998865187924
0.001,0.99,-54.23917877566832,-159.79008854452914
0.001,0.99,-83.65856268483728,-158.97146998689803
0.001,0.99,-92.60868137471171,-158.26548287400243
0.001,0.99,-57.08907509085067,-157.20046805523242
0.001,0.99,-109.22426416974808,-156.7007159314253
0.001,0.99,-100.89104715401092,-156.12535852134886
0.001,0.99,-58.51791454140647,-155.1293641950229
0.001,0.99,-82.48165931080634,-154.39554899417223
0.001,0.99,-81.99138958010289,-153.67150740003154
0.001,0.99,-62.37320769282357,-152.70461119829832
0.001,0.99,-76.45343432689059,-151.43791269305353
0.001,0.99,-94.2418454420282,-151.55156396405698
0.001,0.99,-20.158982732886685,-150.1945812609647
0.001,0.99,-24.09750077174813,-148.88097661463414
0.001,0.99,-80.53291317588467,-148.16730501505936
0.001,0.99,-129.1017015255577,-147.2045957391444
0.001,0.99,-63.16258397243729,-146.2616087935002
0.001,0.99,-72.0292443932955,-144.8664277804213
0.001,0.99,-75.46768061373194,-141.26082918262887
0.001,0.99,-106.93573602644557,-140.24793673806695
0.001,0.99,-101.3805880287083,-138.9186403850764
0.001,0.99,-75.7885505803263,-137.83625291801198
0.001,0.99,-42.19765196240623,-138.0336044090348
0.001,0.99,-68.14838544956214,-136.3875731285263
0.001,0.99,-126.6242591000744,-136.11609211954487
0.001,0.99,-40.57134576427539,-134.8226307183628
0.001,0.99,-93.59592721568566,-133.04624951837195
0.001,0.99,-130.2156649827967,-133.6496870514924
0.001,0.99,32.3752349476739,-132.29840748509514
0.001,0.99,-81.2270743645179,-129.72009441633745
0.001,0.99,-84.60635733486532,-129.24011494969957
0.001,0.99,-104.62865555065144,-127.30874745227966
0.001,0.99,-65.61525450024916,-126.35911098918838
0.001,0.99,-54.26920940928512,-125.58702450061492
0.001,0.99,-50.229156262445215,-123.71604508686507
0.001,0.99,-38.757246230441346,-122.00308416751277
0.001,0.99,-192.53580432494684,-121.04501872806864
0.001,0.99,-41.51975565517182,-117.94373892479072
0.001,0.99,-79.81562169762964,-117.70820941743314
0.001,0.99,-310.7781998181721,-117.93262939845415
0.001,0.99,20.206044837828387,-116.54661098879134
0.001,0.99,-110.84482571165614,-116.05626362828383
0.001,0.99,-189.96334473572136,-116.61001488505002
0.001,0.99,-125.7462864717861,-117.07090672135296
0.001,0.99,-69.73617973300682,-116.75662117458798
0.001,0.99,-50.68745934016941,-116.73452593052036
0.001,0.99,-96.29055954077545,-116.6202004704172
0.001,0.99,-99.91626836942594,-114.1994129221923
0.001,0.99,-40.30465114437375,-111.43085693926746
0.001,0.99,-69.46504661505219,-110.28376554980105
0.001,0.99,-164.11235234053913,-111.9815735817329
0.001,0.99,-4.77293547379719,-107.42404387722294
0.001,0.99,-3.4599968019224434,-105.93876928228734
0.001,0.99,-72.38120074389477,-105.54894619851815
0.001,0.99,-267.8373182199638,-107.42071482297656
0.001,0.99,-18.2609527613168,-106.41623318003802
0.001,0.99,-92.88637577980319,-105.60910374257814
0.001,0.99,-3.0446257505095957,-104.3557752871933
0.001,0.99,-131.23038052433026,-103.69408592601796
0.001,0.99,-55.67991232683243,-103.43788684561669
0.001,0.99,20.015418548162188,-102.88039841675202
0.001,0.99,-186.36578778437746,-103.95335555495225
0.001,0.99,-41.29807067117038,-103.72593852066856
0.001,0.99,16.878876242534247,-102.85832737493367
0.001,0.99,21.636303769243085,-98.94358996395096
0.001,0.99,-283.78654619500116,-97.89587166884108
0.001,0.99,-71.42984289128383,-97.75832686081372
0.001,0.99,-69.40946335400784,-95.36289723003466
0.001,0.99,-35.696608358868374,-94.64440750048847
0.001,0.99,-45.84109781789006,-94.05220917372044
0.001,0.99,11.363165039694593,-92.82048012005043
0.001,0.99,-84.65266623338371,-92.79052429171428
0.001,0.99,-60.41097600657899,-90.66602538422156
0.001,0.99,-40.10039636607635,-89.80381457010039
0.001,0.99,-50.24199432819569,-89.36624341992989
