lr,gamma,scores,avg_scores
0.0001,0.99,-48.594857767469364,-48.594857767469364
0.0001,0.99,-436.5840254383105,-242.58944160288993
0.0001,0.99,-332.0722784699503,-272.41705389191003
0.0001,0.99,-60.38298027432129,-219.40853548751286
0.0001,0.99,-108.87881262556792,-197.30259091512386
0.0001,0.99,-56.246169978451476,-173.7931874256785
0.0001,0.99,-141.18336485772562,-169.13464134454236
0.0001,0.99,-217.1314794840094,-175.13424611197576
0.0001,0.99,-310.3859602462212,-190.16221434911415
0.0001,0.99,-189.6811453934244,-190.11410745354516
0.0001,0.99,-122.28144948533453,-183.94750218370785
0.0001,0.99,-207.869186307492,-185.94097586068986
0.0001,0.99,-361.0562968863762,-199.41138517035805
0.0001,0.99,-139.4186424125503,-195.12618925908606
0.0001,0.99,-243.60433398333856,-198.35806557403623
0.0001,0.99,-166.08079879048202,-196.34073640006406
0.0001,0.99,-416.98582874120183,-209.3198594789545
0.0001,0.99,-158.12902768377683,-206.47592437922242
0.0001,0.99,-231.95966942711362,-207.8171741185851
0.0001,0.99,-67.35481863357472,-200.7940563443346
0.0001,0.99,-552.4047853152983,-217.53742439057095
0.0001,0.99,-109.5118035338144,-212.62716889708202
0.0001,0.99,-129.75262045047964,-209.02392766027322
0.0001,0.99,-95.93927388662225,-204.31206708637112
0.0001,0.99,-93.39035795618625,-199.8751987211637
0.0001,0.99,-125.86106502497313,-197.02850127131023
0.0001,0.99,-158.4682181059837,-195.60034263555738
0.0001,0.99,-236.65882286495355,-197.06671692946438
0.0001,0.99,-191.33102288994226,-196.86893437637744
0.0001,0.99,-82.2331972288462,-193.0477431381264
0.0001,0.99,-96.35057410042768,-189.92847962078127
0.0001,0.99,-205.32776108631367,-190.40970716657915
0.0001,0.99,-316.98682653603316,-194.245377450502
0.0001,0.99,-82.10690827879705,-190.94718718074597
0.0001,0.99,-135.90434468206507,-189.3745345379265
0.0001,0.99,-431.39027646180347,-196.09719403581198
0.0001,0.99,-129.76819408866473,-194.30451836156476
0.0001,0.99,-132.04181797376958,-192.6660262460965
0.0001,0.99,-257.73941931289124,-194.3345747862707
0.0001,0.99,-45.420309743990046,-190.61171816021368
0.0001,0.99,-337.6814443623187,-194.19878465294798
0.0001,0.99,-94.51408791744572,-191.82533949257888
0.0001,0.99,-349.40844368729194,-195.4900628459443
0.0001,0.99,-81.67256100433428,-192.90330144045313
0.0001,0.99,-408.0473593217587,-197.68428050448216
0.0001,0.99,-155.36780586551933,-196.7643571427656
0.0001,0.99,-134.70127628387354,-195.4438660606615
0.0001,0.99,-320.74469124284116,-198.05429991862357
0.0001,0.99,-93.95645338860493,-195.92985407107216
0.0001,0.99,-136.65296442479405,-194.7443162781466
0.0001,0.99,-102.31554507463436,-192.93198743101894
0.0001,0.99,-100.78398395185893,-191.15991044103507
0.0001,0.99,-144.9681093821679,-190.28836702483002
0.0001,0.99,-237.12836641856123,-191.15577442101022
0.0001,0.99,-146.4324626546391,-190.34262329798528
0.0001,0.99,-234.17889212116899,-191.12541381268497
0.0001,0.99,-73.48040345276254,-189.0614662625109
0.0001,0.99,-141.72037135616984,-188.24524048826365
0.0001,0.99,-278.0932383319986,-189.76808790934388
0.0001,0.99,-153.31775440218584,-189.16058235089125
0.0001,0.99,-98.80201717529935,-187.67929439719302
0.0001,0.99,-235.7269721204421,-188.4542569411164
0.0001,0.99,-109.32988549566379,-187.1983145372203
0.0001,0.99,-196.4503577859965,-187.3428777129825
0.0001,0.99,-159.83585992301784,-186.91969282390613
0.0001,0.99,-61.399031825969864,-185.01786462696768
0.0001,0.99,70.2197804077808,-181.2083475368968
0.0001,0.99,-233.9073319771613,-181.98333260219482
0.0001,0.99,-85.96373409182823,-180.59174421798662
0.0001,0.99,-94.83327354498874,-179.36662320837237
0.0001,0.99,-368.6527731158187,-182.03262531974485
0.0001,0.99,-81.12211706148462,-180.63109048282453
0.0001,0.99,-125.97318295082684,-179.8823520234821
0.0001,0.99,-64.45319679977425,-178.32249857451308
0.0001,0.99,-276.324949373859,-179.62919791850433
0.0001,0.99,-161.77012464838208,-179.39421011231852
0.0001,0.99,-111.90907996080682,-178.5177798506106
0.0001,0.99,-201.38835369773952,-178.81099233583018
0.0001,0.99,-482.2756087929818,-182.65231659478147
0.0001,0.99,-445.54925275810484,-185.93852829682305
0.0001,0.99,-106.12591388791526,-184.95318737819457
0.0001,0.99,-113.9486809850114,-184.08727876364355
0.0001,0.99,-399.94277620359594,-186.6879474074984
0.0001,0.99,-114.78687702260163,-185.83198228386868
0.0001,0.99,-92.21321003337736,-184.73058496327465
0.0001,0.99,-152.07036504150528,-184.3508149641843
0.0001,0.99,29.984284836078785,-181.88719312739968
0.0001,0.99,-74.83062403901248,-180.6706412059407
0.0001,0.99,-250.22382081119838,-181.45213760599978
0.0001,0.99,-234.6203836420161,-182.04289589528886
0.0001,0.99,-153.83927176841758,-181.73296595982873
0.0001,0.99,-234.28370722130447,-182.3041696691926
0.0001,0.99,-135.92838993165174,-181.80550537093947
0.0001,0.99,-130.07245575259498,-181.25515377925493
0.0001,0.99,-70.1304220663978,-180.08541976122487
0.0001,0.99,-115.89388976188417,-179.41675799039842
0.0001,0.99,-96.76797588164254,-178.56470869030815
0.0001,0.99,-404.0433143801394,-180.86551078918396
0.0001,0.99,-149.65043882594648,-180.55020703197954
0.0001,0.99,-337.2078475536093,-182.11678343719583
0.0001,0.99,-149.85050710592546,-183.12933993058041
0.0001,0.99,-96.74986460608626,-179.7309983222582
0.0001,0.99,-45.98175142323208,-176.870093051791
0.0001,0.99,-144.12740218527108,-177.7075372709005
0.0001,0.99,-154.2769880047341,-178.16151902469213
0.0001,0.99,-153.5950517329166,-179.1350078422368
0.0001,0.99,-371.63024698092147,-181.43947666346875
0.0001,0.99,-101.68282471586049,-180.2849901157873
0.0001,0.99,-85.83468854548785,-178.03947739877992
0.0001,0.99,-89.30349236019177,-177.0357008684476
0.0001,0.99,-58.766522382335985,-176.4005515974176
0.0001,0.99,-94.28124099543236,-175.26467214429704
0.0001,0.99,-136.3531971414358,-173.0176411468476
0.0001,0.99,-119.57894217652101,-172.8192441444873
0.0001,0.99,-127.89926253000596,-171.662193429954
0.0001,0.99,-151.7199987834153,-171.5185854298833
0.0001,0.99,-114.25579376762279,-168.4912850801475
0.0001,0.99,-244.40699964743666,-169.3540647997841
0.0001,0.99,-93.807320473873,-167.97254131025173
0.0001,0.99,-298.48421349141984,-170.28383525883018
0.0001,0.99,-153.05005673719143,-166.29028797304917
0.0001,0.99,-109.69722492428988,-166.29214218695387
0.0001,0.99,-125.58899222971066,-166.25050590474618
0.0001,0.99,-264.66263386837704,-167.93773950456372
0.0001,0.99,-44.92986886767251,-167.4531346136786
0.0001,0.99,-173.18817957651353,-167.926405759194
0.0001,0.99,-200.1040565411207,-168.34276414354537
0.0001,0.99,99.99473629947283,-164.9762285519011
0.0001,0.99,-112.8059344533845,-164.19097766753552
0.0001,0.99,-153.56311045883274,-164.9042767998354
0.0001,0.99,-276.4503852701148,-166.70527491153229
0.0001,0.99,-123.2397179816688,-165.88439448048584
0.0001,0.99,-84.82234591316052,-163.56274967425708
0.0001,0.99,-97.89221367294601,-163.72060272819857
0.0001,0.99,-353.2286726178553,-165.8938460075565
0.0001,0.99,-132.4608160186704,-162.90455140312517
0.0001,0.99,-117.92344896433083,-162.78610395188184
0.0001,0.99,-229.7428665047859,-163.763114437192
0.0001,0.99,-245.34714422663956,-163.6391916863295
0.0001,0.99,-136.65169722211513,-164.55150556111076
0.0001,0.99,-108.9841742611012,-162.26453286009854
0.0001,0.99,-192.43542345532677,-163.24374621547736
0.0001,0.99,-123.42558536725107,-160.98391763227693
0.0001,0.99,-152.5750910577903,-161.6929429328115
0.0001,0.99,-92.49893259623074,-158.53745866555622
0.0001,0.99,-87.60320992135291,-157.85981270611458
0.0001,0.99,-101.49067314319545,-157.5277066747078
0.0001,0.99,-308.76288966796125,-157.407888658959
0.0001,0.99,-153.56463763721524,-158.00397050144508
0.0001,0.99,-162.05560494815035,-158.25799690667864
0.0001,0.99,-78.0557068027341,-158.01539852395968
0.0001,0.99,-106.60420637550754,-158.07360074819613
0.0001,0.99,-94.55777855731611,-157.56949743994764
0.0001,0.99,-129.1499829183685,-156.4897136049457
0.0001,0.99,-239.32725953352553,-157.41866157373457
0.0001,0.99,-90.14585496644787,-155.97833120218735
0.0001,0.99,-408.9580262312563,-159.33310742997227
0.0001,0.99,-97.82071739838779,-158.89411089039447
0.0001,0.99,-85.51242763835309,-156.96830278345803
