scores,avg_scores
-548.3959800919129,-548.3959800919129
-153.97789136061084,-351.1869357262618
-107.96342322429894,-270.11243155894084
-277.74265457931705,-272.0199873140349
-88.28631719571932,-235.27325329037177
-110.62365333272378,-214.49831996409708
-258.45773908025353,-220.77823698069088
-109.1082377428368,-206.81948707595913
-109.7262398989443,-196.03134850073528
-109.92733124581666,-187.4209467752434
-347.18407813905577,-201.94486780831724
-503.47764516688835,-227.07259925486483
-248.86471922316133,-228.74891617550304
-321.49057859893924,-235.3733206343199
-115.75823971832189,-227.3989819065867
-368.1239186147752,-236.19429045084848
-77.40061097670039,-226.8534857758986
-74.1228252765533,-218.36844908149052
-113.87320797447195,-212.86869954954219
-164.98415320525066,-210.47447223232763
-113.31096855391644,-205.84763872383186
-234.83842331546987,-207.16540165981542
-170.61359939523174,-205.5761928657031
-371.8754539568883,-212.50532874450244
-222.2605100712962,-212.8955359975742
-63.500501925404066,-207.14957314864458
-217.09816905420743,-207.5180396636654
-305.8819977025346,-211.03103816505362
-105.13515528692513,-207.3794559968423
-114.77784192530623,-204.2927355277911
-175.38710436540185,-203.3602958128753
-92.04177786150026,-199.88159212689482
-196.9541289856769,-199.79288112261548
-290.9199965115855,-202.47309039876168
-185.7945733503518,-201.99656134023567
-120.84828037151902,-199.742442424438
-58.80372889158015,-195.93328800463104
-116.1038179993328,-193.8325124781758
-150.21763676445426,-192.71418233167014
-101.03289208162356,-190.42215007541898
-127.13271234475013,-188.87850525271972
-284.6353997944882,-191.15843131323803
-216.58634509722512,-191.7497781454238
-452.63631917022576,-197.67901771416928
-413.4369959598432,-202.473639452962
-447.7031200857606,-207.8047151188924
-98.59399982626388,-205.4810828786237
-141.69913282010899,-204.15229225240466
-76.98283682570226,-201.55699724369646
-105.24826366017881,-199.6308225720261
-347.2955610801323,-202.5262096015968
-88.26956121917614,-200.32896636347334
-326.3481224191408,-202.70668628905196
-121.34985200161078,-201.20007824669193
-398.01431251025986,-204.7785188696659
-88.89005959678347,-202.70908209693587
-158.1069798767198,-201.9265890755286
-115.30787117323293,-200.43316290479933
-248.11062561731893,-201.24125549314712
-262.05299887362764,-202.25478454948845
-318.2116650767964,-204.15571701714924
-92.11909798778927,-202.34867477474023
-203.52530008690292,-202.3673513669968
-92.30316197635908,-200.64759840776804
-129.65746279085212,-199.5554424752001
-82.48591559734014,-197.7816617649295
-79.87143171912494,-196.02180758514137
-91.0807757748214,-194.47855711734255
-136.63083206205647,-193.64018429045436
-78.83351695604122,-192.0000890428199
-120.49934619356478,-190.9930363266332
-321.7837081614384,-192.80957343544995
-120.30073511064046,-191.81630167757584
-278.16433716573266,-192.98316702201038
-232.05439462572153,-193.50411672339322
-106.78663819960485,-192.36309726913282
-330.18993979985737,-194.15305626303834
-116.19118663374861,-193.1535451139449
-41.70200470491567,-191.23643700750148
-173.65625590090983,-191.01668474366906
-148.82196122081845,-190.49576223104128
-65.9004366086545,-188.97630704052435
-337.5254367689056,-190.7660555914687
-107.7931174649345,-189.77828251853376
-104.78185553184011,-188.77832455398445
-166.19672199748234,-188.51574778007162
-154.54279339132816,-188.1252540514654
-433.95389940873525,-190.91876138507075
-132.16776239661652,-190.2586378009308
-204.05658635243827,-190.411948340392
-84.27999877843874,-189.24566318037054
-49.3892387359177,-187.7254846538004
-35.08474493103242,-186.0841863772115
-71.31062550264468,-184.86319104875867
-152.33269525670357,-184.52076477726334
-129.2695714753937,-183.94523151370217
-212.16732969244197,-184.23618097946238
-248.32206158796248,-184.89011853669194
-63.96428744217762,-183.6686454953332
-107.05914567904884,-182.90255049717038
-109.6252051630742,-178.514842747882
-104.95140154129571,-178.02457784968885
-170.45152257534383,-178.6494588431993
-372.8809747038622,-179.60084204444473
-103.90331534010875,-179.75701202588863
-94.28736310448014,-179.59364912360616
-81.92668838594295,-177.82833861666313
-70.82273642355113,-177.44548360347025
-137.05444874025366,-177.7187656918833
-73.0417586962389,-177.34990996638757
-96.02005091406247,-174.83826969413764
-398.551664632177,-173.78900988879056
-98.3964782606496,-172.2843274791654
-95.0565040192684,-170.01998673336868
-131.16941693128163,-170.1740985054983
-50.905793280224955,-167.00191725215282
-132.41876901946918,-167.55209883258053
-135.10096105856388,-168.16188019040064
-68.70825655661736,-167.71023067622207
-91.44207632605861,-166.97480990743014
-53.29871969999489,-166.37468741889094
-128.4988334400428,-165.3112915201367
-161.47595176332513,-165.2199150438176
-231.59498504148166,-163.8171103546635
-379.31801776261136,-165.38768543157667
-120.17332114475667,-165.9544136237702
-119.52500611586238,-164.97868199438676
-91.22995338076606,-162.83216155116904
-252.11384669862946,-164.3019484652861
-49.83377320216546,-163.65250777805468
-45.76237394436943,-162.35626047384437
-225.8905650487432,-163.6947483457168
-124.74295757058928,-162.97263663156593
-310.81245929421846,-163.1715612593923
-339.8631456214806,-164.71224698210352
-121.74873575157743,-164.72125153590414
-122.17720080572553,-165.3549862550456
-248.1882006373456,-166.67583008142572
-311.6247309653537,-168.2899010234347
-116.03173123062533,-168.43988941492472
-148.13470983671925,-168.6499093898444
-113.80543346945761,-166.9416097265941
-104.06443523639567,-165.8163906279858
-96.41186390709946,-162.25414607535456
-122.25456662270986,-159.34232178198323
-133.5102893066006,-156.20039347419163
-235.47810806944648,-157.56923455662346
-145.16722228317497,-157.60391545125412
-120.2974312204171,-158.03706139520125
-200.74768814306339,-158.9920556400301
32.54298273578303,-155.19367020187093
-93.67807172836632,-155.24775530696283
-88.10435905854867,-152.86531767335688
-137.82708124383802,-153.03008996577918
-163.48982373521855,-150.6848450780288
-179.57376238003627,-151.5916821058613
-98.95037745893623,-151.00011608168347
-196.88925067484115,-151.81592987669956
-124.10627552253072,-150.57588637575165
-154.38513445066548,-149.49920773152203
-254.48971776965422,-148.86198825845065
-96.5295349845516,-148.90609262841824
-104.32954050515045,-147.91413503260074
-132.16618333105822,-148.31276524614773
-102.42227769321805,-148.04041339517138
-110.8001837665771,-148.32355607686378
-76.61729483766939,-148.29101470804923
-87.72366635716207,-148.2574436138726
-80.86962574151458,-147.6998315506672
-54.64295766696646,-147.4579259577764
-145.08071772176368,-147.7037396730584
-119.86277178197322,-145.68453030926375
-335.44967037524736,-147.8360196619098
-153.8566949030735,-146.59294323928322
-183.29552641062298,-146.10535455713224
-137.13044596518122,-146.408792634788
-136.40674746908036,-144.47096071148025
-164.84807004434464,-144.95752954558623
-154.89362243724585,-146.08944572290955
-87.43521209257598,-145.22723528482618
-105.6653417050041,-144.79566908966805
-180.52315776572922,-145.94189630123878
-44.02858785389322,-143.00692781208863
-113.24580009824103,-143.0614546384217
-92.93493187380611,-142.94298540184136
-46.52888270295208,-141.74630700889605
-47.39995001823152,-140.67487857516508
-236.49193144419579,-138.7002588955197
-21.68584120768277,-137.5954396836304
-91.35820162907692,-136.46845583639677
-221.42584418882032,-137.8399142905006
-86.43442818864443,-138.21036618502782
-145.24443541834648,-139.31196308990098
-46.52448775126068,-139.06410171238716
-115.10181743396495,-138.69179293415976
-164.39517924483056,-139.04304901185412
-102.71680783678356,-137.94854379329752
-324.0951838831787,-138.7062750162497
-126.02440462422624,-139.32687618807017
-74.40773490390477,-139.00036208031875
-100.78886434625937,-138.91199867215062
-78.24575429387887,-138.64494219967645
-100.37254337031165,-137.94415240762612
-99.13425995168878,-135.2066852601044
-74.95819707270732,-134.91723407743038
-86.04773515181448,-134.8348377979037
-37.107371817532844,-134.3866446322196
-93.38620846348032,-134.61227935261888
-258.95940705458133,-135.83132893576214
-109.94079493690882,-136.20031929816886
-113.85847871994731,-136.3787035762277
-97.00240439144488,-133.3632109738204
-132.95216775709804,-133.7087678687849
-80.07626802494704,-133.55896550884165
-89.83141049674964,-133.14558544449636
-106.29033631791967,-133.6994308748733
-215.20155473604635,-134.52725873203906
-137.3590525630736,-134.54983964708418
-53.19043792473914,-134.39466146076538
-124.06299070891424,-134.72087060459396
-83.08188579927857,-135.01870226558677
-111.13638081498593,-134.8450777393362
-193.68850138382635,-135.16720323554125
-168.52527951267405,-134.53650618025316
-111.77980187960058,-131.86112402142305
-111.58348047498468,-131.77522561472531
-78.17946801121869,-131.3617702336789
-54.5365838187096,-130.9948365380583
-60.86830607273531,-129.0823811317994
-89.62198861164181,-129.48026328589415
-171.11000595818797,-130.73373960603232
-100.03662371595753,-129.47520019270448
-101.48528066707233,-129.2426234236693
-69.16126910288378,-126.82611152175598
-254.66749127448628,-125.97415497828601
-104.12916981215635,-125.79795931889183
44.67369183102045,-124.12945039252436
-258.11041411396593,-124.22867252729057
-90.007005617261,-122.01249527380963
-157.19838096611483,-122.42416177116452
-71.46001657111566,-121.6574148385085
-158.32395300337532,-122.10260003384766
-125.20296524024315,-122.31398533388614
-56.63655683767078,-121.91623226319187
-82.02363319981215,-121.5139229289629
-82.76667314584873,-121.00648676735538
-108.45417898837377,-119.73624747654463
-118.42252462411217,-119.468800499954
-78.42192213627436,-119.05004540911257
-98.79608009172836,-118.03052932859923
-80.24696773837115,-119.15842883334076
-153.6469024433201,-119.7581171404903
-70.44811566238147,-119.58155470652862
-83.9703001239966,-119.0429868953302
-160.40489537299254,-119.01213761170794
-188.58494139876035,-119.10224940189516
-146.76018194694294,-119.58034744677525
-78.10597508358755,-118.39251469086274
-97.44405874395555,-118.12589252307698
-209.01967207793476,-118.67223789934968
-105.62360799527713,-117.18357680160591
-132.7681991778819,-117.54596344353921
-162.82638781629547,-118.13093191665068
-79.5370548394028,-117.60464063173409
-63.74063334402406,-117.21782418824218
-32.47257400675714,-116.43454809064397
-101.83758502104803,-116.68675099247774
-59.43979369514123,-116.40391226585754
-102.297409358414,-116.61819010202653
-93.00998253687597,-117.00186035072562
-91.72885288813855,-116.46834170238937
-422.9238291067436,-119.49895227563705
-77.60831082025466,-116.92053868008713
-135.89680927852083,-116.74093982384161
-102.46745659564738,-115.93265912569186
-154.74572843373227,-116.10881195037737
-85.31551897260294,-115.59789966541261
-129.80746891979535,-115.24749365416709
-276.932258138591,-116.46788001118053
-74.58309137056807,-116.33935880396047
-97.94031751015855,-116.26210856201202
-70.96960331869829,-115.16657301754171
-50.8203244512041,-115.23449038351481
-61.91625799350852,-114.7211949624675
-115.46626972408514,-114.94650834097028
-123.17949440868435,-115.71301445802763
-92.24892984951398,-116.16150425634046
-64.62882450956195,-114.44287318699413
-51.833041653811414,-114.74434519145541
-120.27175033500433,-115.03348067851468
-97.46276539853793,-113.79384989061184
-78.77591563036422,-113.71726476502903
-171.08692327327037,-113.97568964357828
-162.54906829258903,-115.13593544899155
-120.47254588059381,-115.18964273345782
-112.43870509984669,-114.67007799200799
-59.27410245892015,-114.23565093822936
-207.22534220910327,-113.06695252148862
-24.58292522452713,-112.05253772749161
-49.761103434128216,-111.80607141279387
-135.73997865746875,-112.15558255590595
-86.05924321601356,-112.23371744512731
-120.58714935578153,-112.43586350498197
-196.48085000812978,-113.4093294055464
-91.66334836135374,-113.57638091843285
-86.88664121435043,-113.5847699790582
-80.75326869209857,-114.02122894780388
9.460634860054157,-112.99276051456854
-47.19663228146061,-110.87513276683734
-82.07732966337942,-110.59649811410205
-95.71701709729882,-110.41508349787557
-44.94873137449986,-109.8945467677061
-169.7604021453452,-110.26262911158858
-92.72489535239832,-110.38911538486309
-122.91429619538168,-110.7199442418494
-271.80290554453507,-112.37506993411556
-114.85070608082,-111.37156144756331
-86.7744457315279,-110.86571537924787
-76.94277120567679,-111.10323871205723
-69.27259955196446,-110.55533480048774
-109.44080579204638,-110.81892400041541
-223.74941134761696,-111.94505430574172
-60.59726001181758,-110.61414189202165
-111.67896000951245,-110.04567869699004
-95.03857323064656,-109.87826641050049
-80.23553953266165,-109.56478700107724
-259.77631566319883,-111.38075547759705
-71.68018191791595,-111.5521914585891
-117.78325332587801,-112.12134093112056
-131.78620187374253,-112.54298306374157
-136.5078861420363,-112.19696186558006
-394.8041776141039,-115.14463740456151
-66.0604186251364,-114.79038878414217
-185.66533324025593,-115.95542942551587
-76.73912344976657,-114.17614574726868
-191.39001125182617,-115.04875416166537
-81.50424681072805,-116.31053354808284
-81.07870218745744,-114.54021642881774
-175.28331889373686,-115.3929795615825
-81.67149605852487,-114.63771071250662
-144.0488905229143,-115.36359945202459
-89.36124910593497,-114.6739724130502
-148.4217528290522,-114.9061602889383
-94.18530937785053,-115.28164781434006
-202.32058745369267,-116.48461735687889
-143.74112718786782,-117.09436189729905
-116.91662346289519,-117.17898634204428
-66.36855351518554,-116.65844663095503
-50.07437372123419,-116.37497114680463
-117.34933816784256,-116.56050372756576
-95.79395040270707,-116.7159735542091
-228.3197636411084,-117.46270216618699
-128.44523217050647,-118.04267333126823
-97.16781936698825,-118.17464852369818
-122.84285432741983,-117.79902811324244
-31.472913481379138,-116.22790783406865
-75.2412485006875,-115.51271849960607
-61.946754101843766,-115.35112628978864
-44.469650225250135,-114.82138220460156
-68.5749190574619,-113.41693467439687
-79.36206885173372,-113.15431928296142
-103.08279793981153,-112.8574652705807
-96.53728151443698,-112.19457420756211
-114.43989212556205,-112.54360258042372
-109.96150416906961,-113.00581128867418
-164.66976059018495,-114.32778315450847
-98.61723741378381,-114.29557967843583
-95.29583472403526,-114.65414008872477
-92.44890255114106,-114.55565502065203
-86.38047985659871,-114.48935999384925
-93.52643058239143,-114.50733577079178
-101.74218203608034,-111.29551930008515
-25.721671452132313,-110.77665290640392
-22.597187866275007,-109.64365669228147
-56.86444522659905,-109.18762657859101
-137.10993808009744,-109.01126867505465
-80.3889161050575,-108.96200264637919
-111.12591483797766,-108.77518710556102
-60.143594907097416,-106.60730047324607
-275.2457411171076,-108.61392697071147
-106.81048131854865,-108.70262860879538
-85.0139991887414,-108.84307256749582
-106.84078740541321,-109.4032771970379
-67.57922869977286,-109.45990690410055
-109.33586123500062,-109.3986028192097
-82.11730158014561,-108.9879808909243
-95.69120229564206,-109.02240361538557
-123.26929329873762,-109.60880830327733
-86.41576375777711,-109.954635524317
-61.918311828246516,-109.37110113924942
-146.10358160719892,-109.85750930133604
-248.56537469811082,-111.55540389201352
-212.75730646746638,-111.97210772395547
-144.64463832023793,-111.79306342423197
-89.64808103101035,-111.48481877573613
-54.33830824734116,-110.90381480721108
-80.96208671891158,-111.12069464981097
-79.51178185619409,-109.84355904628187
-63.738727142598464,-110.23511706546259
-51.924692880629536,-110.2567529599276
-145.6195817141741,-110.35554899049464
-107.3677025790467,-110.56863358412498
-86.1138904883172,-110.22390099545036
-67.88160755261117,-108.93790857089517
-100.11593794617545,-109.02243446674339
-114.98747557555605,-109.30344281035542
-77.88297306917059,-109.27473985412615
-72.4325775674378,-110.09367197840105
-127.83875427813855,-110.90009319836783
-101.87232846353066,-111.09804318636934
-135.4588789072836,-111.4954618044692
-81.04481956825438,-111.85642268640677
-70.03810184254279,-110.85919968337876
-111.4595580989521,-111.04654631084428
-224.76827066090965,-112.06508605549956
-60.61845046469372,-109.95324150470114
-60.839987849685386,-109.4131343223898
-104.54341284718791,-109.5908239935464
-113.47630881025658,-109.95615936959219
-99.34207975882019,-110.25685417166076
-126.3457344231687,-110.42590345797197
-61.798889814185536,-108.80639824263766
-75.01210370273019,-108.95054667954675
-37.462864295270634,-108.20838572240433
-82.37456093528584,-108.08174559945073
-59.15204876251187,-107.87091069174924
-91.55170393313765,-106.18866457444865
-85.53095394985507,-106.32717229476805
-94.69910919181054,-106.09633085342735
-64.46443115789779,-105.42311314626892
-77.4180770128541,-104.8322150549771
-66.9856071811727,-101.55402935064778
-82.29393833726357,-101.71636454776905
-119.96240576132264,-101.0593352729797
-57.051700683393044,-100.86246104531595
-62.24463938900523,-99.57100732668776
-67.44927256697373,-99.43045758425023
-75.30066891148891,-99.37267725149054
-189.32617207079403,-99.51310578326111
-119.50197278049451,-99.89141055048081
-104.43219422291493,-99.49524358748081
-63.778120173793674,-99.23941229815941
-18.100207436327352,-97.93619684423216
-110.0713382328478,-98.09505713278217
-64.77853515285516,-96.71963660977377
-86.42866035623791,-96.14651194145746
-109.80628516620503,-96.07540855849057
-84.52356653058423,-96.25695868864456
-123.51573335792195,-96.99137228501142
-93.74462808293922,-96.75532518416242
-89.33771223959228,-96.69076280253124
-48.59297222922375,-94.8934948884124
-110.95712388755061,-94.71861380558283
-122.97708978691396,-94.97670650978209
-83.53587608516008,-94.5836367273595
-57.84262174096867,-94.8473338099554
-70.80589332761382,-94.80298025822465
-79.65606791846601,-94.98007339639085
-140.71090541021405,-95.94248594824052
-98.67530557728219,-96.24348981343871
-110.36220211373707,-96.55349114605875
-87.72177502008194,-96.39988091686146
-77.33962794653708,-96.20790438118246
-119.66643600762228,-96.26016982000307
-62.23228796273734,-95.78287765793974
-70.99481349594667,-94.84612818699738
-252.86886942534898,-96.38864450711303
-96.16271558062436,-96.3973133156789
-51.666213985231536,-95.98948643001981
-94.44375112186314,-96.07011914267245
-50.6864983154576,-95.64171982000313
-55.079654178609196,-95.17509454142842
-121.17862184266792,-96.12966404533377
-205.59041807729946,-97.959596347444
-127.92515783197288,-98.67020347349775
-63.69436158391266,-97.93604770853588
-129.6254455641308,-98.42841300312661
-126.05101668332293,-98.57766402158006
-123.46676539394264,-99.21089572644853
-12.548589404519348,-96.58392420932263
-52.10004534307838,-96.03681984956795
-106.93704948084172,-96.25605035248894
-80.9558847099809,-95.99720132553462
-157.2551145383452,-96.89396018392036
-74.84417342433167,-96.54904330581365
-268.1202970234665,-98.40907326024688
-181.84264090006883,-99.27058764629113
-79.45695614464526,-98.83246427475024
-69.39185214777783,-98.66222515865022
-74.47798437830093,-98.78782188415079
-86.26998580013041,-98.18948592608008
-99.93278258429773,-96.70316000494196
-33.9431384315356,-94.91501832458265
-37.754387906148565,-93.84611582044175
-38.28558103893357,-93.33249082052097
-164.7190903096785,-94.43629864114435
-4.561008755208391,-93.67228786150731
-144.83656696858304,-94.32553571263121
-62.55058603391614,-94.31365430154437
-131.34008025188191,-95.10780817525692
-115.96754050934224,-94.8112877632086
-219.00556481812657,-95.92766638559938
-62.51820689041908,-95.69170954962041
-62.72901709492163,-95.6401836450435
-66.76171833448274,-95.30664144892658
-100.03953199301797,-95.1571620131012
-311.7561217134946,-97.49589349954445
-111.31192348986662,-97.88468695876873
5.594929603786241,-96.55035011994946
-77.76856322685902,-96.30931246758273
-52.43779927600673,-95.47910167126999
-277.4215202277818,-97.44286867786525
-77.4112431793241,-97.51660009123309
-60.244616908539214,-97.00445067932895
